00501,0,Holtsville,NY,Suffolk County,America/New_York,US,40.81,-73.04
00544,0,Holtsville,NY,Suffolk County,America/New_York,US,40.81,-73.04
00601,0,Adjuntas,PR,Adjuntas Municipio,America/Puerto_Rico,US,18.16,-66.72
00602,0,Aguada,PR,Aguada Municipio,America/Puerto_Rico,US,18.38,-67.18
00603,0,Aguadilla,PR,Aguadilla Municipio,America/Puerto_Rico,US,18.43,-67.15
00604,0,Aguadilla,PR,,America/Puerto_Rico,US,18.43,-67.15
00605,0,Aguadilla,PR,,America/Puerto_Rico,US,18.43,-67.15
00606,0,Maricao,PR,Maricao Municipio,America/Puerto_Rico,US,18.18,-66.98
00610,0,Anasco,PR,Anasco Municipio,America/Puerto_Rico,US,18.28,-67.14
00611,0,Angeles,PR,Utuado Municipio,America/Puerto_Rico,US,18.28,-66.81
00612,0,Arecibo,PR,Arecibo Municipio,America/Puerto_Rico,US,18.45,-66.73
00613,0,Arecibo,PR,,America/Puerto_Rico,US,18.45,-66.73
00614,0,Arecibo,PR,,America/Puerto_Rico,US,18.45,-66.73
00616,0,Bajadero,PR,Arecibo Municipio,America/Puerto_Rico,US,18.42,-66.67
00617,0,Barceloneta,PR,Barceloneta Municipio,America/Puerto_Rico,US,18.45,-66.56
00622,0,Boqueron,PR,Cabo Rojo Municipio,America/Puerto_Rico,US,17.99,-67.15
00623,0,Cabo Rojo,PR,Cabo Rojo Municipio,America/Puerto_Rico,US,18.08,-67.14
00624,0,Penuelas,PR,Penuelas Municipio,America/Puerto_Rico,US,18.06,-66.72
00627,0,Camuy,PR,Camuy Municipio,America/Puerto_Rico,US,18.48,-66.84
00631,0,Castaner,PR,Lares Municipio,America/Puerto_Rico,US,18.19,-66.82
00636,0,Rosario,PR,San German Municipio,America/Puerto_Rico,US,18.16,-67.08
00637,0,Sabana Grande,PR,Sabana Grande Municipio,America/Puerto_Rico,US,18.08,-66.96
00638,0,Ciales,PR,Ciales Municipio,America/Puerto_Rico,US,18.33,-66.47
00641,0,Utuado,PR,Utuado Municipio,America/Puerto_Rico,US,18.27,-66.7
00646,0,Dorado,PR,Dorado Municipio,America/Puerto_Rico,US,18.47,-66.27
00647,0,Ensenada,PR,Guanica Municipio,America/Puerto_Rico,US,17.96,-66.94
00650,0,Florida,PR,Florida Municipio,America/Puerto_Rico,US,18.36,-66.56
00652,0,Garrochales,PR,Arecibo Municipio,America/Puerto_Rico,US,18.45,-66.6
00653,0,Guanica,PR,Guanica Municipio,America/Puerto_Rico,US,17.99,-66.89
00656,0,Guayanilla,PR,Guayanilla Municipio,America/Puerto_Rico,US,18.02,-66.79
00659,0,Hatillo,PR,Hatillo Municipio,America/Puerto_Rico,US,18.48,-66.82
00660,0,Hormigueros,PR,Hormigueros Municipio,America/Puerto_Rico,US,18.14,-67.12
00662,0,Isabela,PR,Isabela Municipio,America/Puerto_Rico,US,18.5,-67.02
00664,0,Jayuya,PR,Jayuya Municipio,America/Puerto_Rico,US,18.22,-66.59
00667,0,Lajas,PR,Lajas Municipio,America/Puerto_Rico,US,18.04,-67.06
00669,0,Lares,PR,Lares Municipio,America/Puerto_Rico,US,18.29,-66.88
00670,0,Las Marias,PR,Las Marias Municipio,America/Puerto_Rico,US,18.27,-67.06
00674,0,Manati,PR,Manati Municipio,America/Puerto_Rico,US,18.43,-66.48
00676,0,Moca,PR,Moca Municipio,America/Puerto_Rico,US,18.39,-67.11
00677,0,Rincon,PR,Rincon Municipio,America/Puerto_Rico,US,18.34,-67.25
00678,0,Quebradillas,PR,Quebradillas Municipio,America/Puerto_Rico,US,18.47,-66.93
00680,0,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,US,18.2,-67.14
00681,0,Mayaguez,PR,,America/Puerto_Rico,US,18.2,-67.14
00682,0,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,US,18.22,-67.16
00683,0,San German,PR,San German Municipio,America/Puerto_Rico,US,18.08,-67.04
00685,0,San Sebastian,PR,San Sebastian Municipio,America/Puerto_Rico,US,18.33,-66.99
00687,0,Morovis,PR,Morovis Municipio,America/Puerto_Rico,US,18.32,-66.4
00688,0,Sabana Hoyos,PR,Arecibo Municipio,America/Puerto_Rico,US,18.38,-66.62
00690,0,San Antonio,PR,Aguadilla Municipio,America/Puerto_Rico,US,18.49,-67.09
00692,0,Vega Alta,PR,Vega Alta Municipio,America/Puerto_Rico,US,18.41,-66.32
00693,0,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,US,18.44,-66.39
00694,0,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,US,18.48,-66.39
00698,0,Yauco,PR,Yauco Municipio,America/Puerto_Rico,US,18.03,-66.86
00703,0,Aguas Buenas,PR,Aguas Buenas Municipio,America/Puerto_Rico,US,18.25,-66.1
00704,0,Aguirre,PR,Salinas Municipio,America/Puerto_Rico,US,17.96,-66.22
00705,0,Aibonito,PR,Aibonito Municipio,America/Puerto_Rico,US,18.14,-66.26
00707,0,Maunabo,PR,Maunabo Municipio,America/Puerto_Rico,US,18,-65.9
00714,0,Arroyo,PR,Arroyo Municipio,America/Puerto_Rico,US,17.97,-66.06
00715,0,Mercedita,PR,Ponce Municipio,America/Puerto_Rico,US,18.01,-66.56
00716,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,17.98,-66.6
00717,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,18,-66.61
00718,0,Naguabo,PR,Naguabo Municipio,America/Puerto_Rico,US,18.21,-65.73
00719,0,Naranjito,PR,Naranjito Municipio,America/Puerto_Rico,US,18.3,-66.24
00720,0,Orocovis,PR,Orocovis Municipio,America/Puerto_Rico,US,18.22,-66.39
00721,0,Palmer,PR,,America/Puerto_Rico,US,18.37,-65.77
00723,0,Patillas,PR,Patillas Municipio,America/Puerto_Rico,US,18,-66.01
00725,0,Caguas,PR,Caguas Municipio,America/Puerto_Rico,US,18.23,-66.03
00726,0,Caguas,PR,,America/Puerto_Rico,US,18.23,-66.03
00727,0,Caguas,PR,Caguas Municipio,America/Puerto_Rico,US,18.22,-66.07
00728,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,17.99,-66.66
00729,0,Canovanas,PR,Canovanas Municipio,America/Puerto_Rico,US,18.37,-65.9
00730,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,18.03,-66.62
00731,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,18.11,-66.63
00732,0,Ponce,PR,,America/Puerto_Rico,US,17.98,-66.6
00733,0,Ponce,PR,,America/Puerto_Rico,US,17.98,-66.6
00734,0,Ponce,PR,,America/Puerto_Rico,US,17.98,-66.6
00735,0,Ceiba,PR,Ceiba Municipio,America/Puerto_Rico,US,18.25,-65.68
00736,0,Cayey,PR,Cayey Municipio,America/Puerto_Rico,US,18.11,-66.16
00737,0,Cayey,PR,,America/Puerto_Rico,US,18.11,-66.16
00738,0,Fajardo,PR,Fajardo Municipio,America/Puerto_Rico,US,18.33,-65.65
00739,0,Cidra,PR,Cidra Municipio,America/Puerto_Rico,US,18.17,-66.15
